"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","total_spend","mean_spend","mean_spend_adstocked","mean_carryover","mean_response","spend_share","effect_share","roi_mean","roi_total","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",773954.999039154,121510934.849147,0.42368217251034,773954.999039154,0.426228401483044,121510934.849147,0.42368217251034,773954.999039154,0.426228401483044,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"2","trend",0,0,0,0,0,0,0,0,0,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"3","season",0.363995720314479,171730.910067476,0.000598788291398589,1093.82745265908,0.00060238686645083,171730.910067476,0.000598788291398589,1093.82745265908,0.00060238686645083,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.544506017508485,-667120.789834523,-0.00232610493792023,-15161.8361326028,-0.00834984616207669,-667120.789834523,-0.00232610493792023,-15161.8361326028,-0.00834984616207669,FALSE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.142858331742797,124463454.229658,0.43397696472033,792760.854965973,0.436585062942896,124463454.229658,0.43397696472033,792760.854965973,0.436585062942896,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"6","events",0,0,0,0,0,0,0,0,0,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE,NA,NA,NA,NA,NA
"7","tv_S",413754.306798301,10115589.9413278,0.0352708595970083,64430.5091804316,0.0354828290647486,10115589.9413278,0.0352708595970083,64430.5091804316,0.0354828290647486,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,2591412.14666667,16505.80985138,24481.6735803607,7975.8637289807,41744.9320419503,0.206047362680601,0.263936577743667,2.52910535246837,3.90350487256126,0.256180031189216,4,FALSE,3.44766022717695,0.14809057659473,2.03774866057562,4.86896959600908,0.187004389517437
"8","ooh_S",331621.168190678,18249739.0422386,0.0636328664145462,116240.376065214,0.0640152847899075,18249739.0422386,0.0636328664145462,116240.376065214,0.0640152847899075,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,8239693.86666667,52482.1265392781,86095.9671249654,33613.8405856873,136718.136394434,0.655151359349006,0.4761732825729,2.60504185729046,2.21485644218739,0.451496530859761,4,FALSE,2.16466193869954,0.0188610744046551,1.98544864818472,2.34603788989835,0.734852178530157
"9","print_S",30980.5978625806,1049966.57095973,0.00366100481738308,6687.68516534859,0.00368300658460401,1049966.57095973,0.00366100481738308,6687.68516534859,0.00368300658460401,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,601634.977777778,3832.06992215145,4353.87487307325,521.804950921796,9628.38966032632,0.0478369682055284,0.027395790566021,2.51258193507091,1.74518871033384,0.573003935951837,4,FALSE,3.01040963974991,0.123093382268002,1.83779386908242,4.19111417415634,0.226541035970867
"10","facebook_S",391013.900878723,4420426.33829823,0.0154130641555612,28155.5817726002,0.0155056930010906,4420426.33829823,0.0154130641555612,28155.5817726002,0.0155056930010906,TRUE,0.504912870542,0.868473561430792,0.859185174078396,0.764312935171409,0.0778632441777076,0.0868797347091656,0.139819777738867,0.0868797347091656,0.21556030667751,0,78143.8475854522,0.001093489717,65481090.2533626,1e-04,"3_143_11",3,143,11,1573,8,334078.021992166,2127.88549039596,2172.00661924921,44.1211288532428,7183.10163561033,0.0265630827769259,0.115338028396322,3.37569933534049,13.2317184828216,0.0755759730905909,4,FALSE,11.7275366424286,0.324225838875249,8.64119215256869,14.8397971140727,4.84980952938226e-05
