"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_S",1,38,8.42658062060446,0.387970281721,"[3.57, 13.26]",3.56855385937877,13.2602758924229,2.35993109252174,0.145571557758461
"2","facebook_S",2,32,12.0873523308658,0.703470935538977,"[4, 20.24]",4.00356755446723,20.2357799484513,3.91676040518061,0.243088214185306
"3","facebook_S",3,16,11.6381693713839,0.252575729506616,"[9.49, 13.79]",9.48507985399002,13.7918992450005,0.978221594035312,0.0632652785765764
"4","facebook_S",4,21,11.7275366424286,0.324225838875249,"[8.64, 14.84]",8.64119215256869,14.8397971140727,1.4499820315739,0.0919047376227457
"5","ooh_S",1,38,1.91743123076146,0.0207879873764985,"[1.66, 2.18]",1.65781896892242,2.17711491701862,0.126448390694077,0.00779992656044795
"6","ooh_S",2,32,2.04179770047402,0.0196373658974278,"[1.82, 2.27]",1.81582675731103,2.26894838324032,0.109336226023552,0.00678579876743841
"7","ooh_S",3,16,2.20022063287487,0.0223688744197117,"[2.01, 2.39]",2.00985457041405,2.39127958814667,0.0866342781009486,0.00560296539327801
"8","ooh_S",4,21,2.16466193869954,0.0188610744046551,"[1.99, 2.35]",1.98544864818472,2.34603788989835,0.0843492889949804,0.00534634161316758
"9","print_S",1,38,2.08413832293035,0.117668904921991,"[0.62, 3.56]",0.617890275397912,3.5573275781157,0.715752005840712,0.0441509223676688
"10","print_S",2,32,2.44346879289785,0.106055926978971,"[1.22, 3.67]",1.22153623754931,3.66871954732535,0.59049441070042,0.0366482033452211
"11","print_S",3,16,2.79828504943431,0.3867581314462,"[0, 6.09]",0,6.08765726478179,1.49790780210143,0.0917522512018652
"12","print_S",4,21,3.01040963974991,0.123093382268002,"[1.84, 4.19]",1.83779386908242,4.19111417415634,0.550490340663239,0.0348919291555595
"13","search_S",1,38,2.30197538941771,0.290064734252827,"[0, 5.92]",0,5.91902247528139,1.76439489687401,0.0954324471619132
"14","search_S",2,32,9.70626495310632,1.4004021137332,"[0, 25.9]",0,25.9016152690459,7.79710898247554,0.419149830646434
"15","search_S",3,16,2.47048158969685,0.540351164811127,"[0, 7.08]",0,7.08265678757496,2.09277106241728,0.11382019103444
"16","search_S",4,21,3.61621761173691,0.468755131406784,"[0, 8.1]",0,8.09725404089082,2.09633667725483,0.124140680761621
"17","tv_S",1,38,2.14745104088643,0.0431789803309729,"[1.61, 2.69]",1.60888697110535,2.68752287378773,0.262647483653726,0.0162013219190892
"18","tv_S",2,32,2.6300017359264,0.0585028209778917,"[1.95, 3.3]",1.95416560471207,3.30408664307421,0.32572992176573,0.0202159685039758
"19","tv_S",3,16,2.90016232919491,0.0883378404256542,"[2.15, 3.65]",2.14686071303779,3.65316191168573,0.342130984808487,0.0221269006895446
"20","tv_S",4,21,3.44766022717695,0.14809057659473,"[2.04, 4.87]",2.03774866057562,4.86896959600908,0.662281192185909,0.0419776092909624
