"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","iterPar","iterNG","df.int","trial","iterations","solID","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"1","(Intercept)",1025896.87252425,94382512.2722307,0.571707398994294,1025896.87252425,0.254530344044257,94382512.2722307,0.571707398994294,1025896.87252425,0.254530344044257,TRUE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","trend",-0.388159789376824,-64291609.2440894,-0.389436430681982,0,0,-64291609.2440894,-0.389436430681982,0,0,FALSE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","season",0.287439529778333,-2316305.89802811,-0.0140306629730009,-25177.2380220447,-0.00624660355973913,-2316305.89802811,-0.0140306629730009,-25177.2380220447,-0.00624660355973913,FALSE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","holiday",1.15287294053586,5235889.36159004,0.0317155860367711,327243.085099378,0.0811907095802947,5235889.36159004,0.0317155860367711,327243.085099378,0.0811907095802947,TRUE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.2033545199318,99534892.4422037,0.602917141081988,1081901.00480656,0.268425260228809,99534892.4422037,0.602917141081988,1081901.00480656,0.268425260228809,TRUE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","events",1.00633528330851,1280873.93400734,0.00775869477958765,1280873.93400734,0.317791477712594,1280873.93400734,0.00775869477958765,1280873.93400734,0.317791477712594,TRUE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","tv_S",376609.062782444,6953274.15471362,0.042118377502176,75579.0668990611,0.0187515591630847,6953274.15471362,0.042118377502176,75579.0668990611,0.0187515591630847,TRUE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,10247935.1,256198.3775,0.311135800761756,0.390837695538166,0.591572385749311,0.678504897509901,1.47382871320455,151559.885402778,0.538070820679422
"8","ooh_S",247382.321564692,5872058.8007067,0.035569083539656,63826.726094638,0.0158357423510937,5872058.8007067,0.035569083539656,63826.726094638,0.0158357423510937,TRUE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,10240536,262577.846153846,0.310911157955088,0.330063489324237,0.340495967935825,0.573413227657878,1.74394302706362,89406.697884658,0.132148867967771
"9","print_S",383718.912462254,3604406.68678999,0.0218331333020538,39178.3335520651,0.00972034810238893,3604406.68678999,0.0218331333020538,39178.3335520651,0.00972034810238893,TRUE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,2793216,77589.3333333333,0.0848043521333921,0.202600670116304,1.22210652075146,1.29041459263802,0.774944739237397,94822.430207425,1.60495838604402
"10","facebook_S",3162.69099265668,86925.4382397261,0.000526537332033855,944.841719997023,0.000234420139586229,86925.4382397261,0.000526537332033855,944.841719997023,0.000234420139586229,TRUE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,5988890.4119093,136111.145725211,0.181827675117088,0.00488600581673152,0.0114421704259124,0.0145144479629932,68.8968676280115,1557.40692625406,0.00443073212568379
"11","search_S",48317.1180379397,1274029.71202457,0.00771723696866798,13848.1490437454,0.00343579772478286,1274029.71202457,0.00771723696866798,13848.1490437454,0.00343579772478286,TRUE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,3666600,47618.1818181818,0.111321014032676,0.0716121392045623,0.358872557356092,0.347468966351545,2.8779548588183,17088.8586857383,0.174615390507824
"12","newsletter",489369.848303568,13471894.0062777,0.081603904117754,146433.630503019,0.0363309445128483,13471894.0062777,0.081603904117754,146433.630503019,0.0363309445128483,TRUE,0.947461510763729,0.0523427473795089,0.231258135928374,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,176,1,1,1759,"1_176_9",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","(Intercept)",982862.912138892,90423387.9167782,0.547725618545155,982862.912138892,0.24623208399059,90423387.9167782,0.547725618545155,982862.912138892,0.24623208399059,TRUE,0.947453753498493,0.0523466114189385,0.239398055111492,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,179,1,1,1789,"1_179_9",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","trend",-0.365579143444245,-60551535.9430728,-0.366781517949791,0,0,-60551535.9430728,-0.366781517949791,0,0,FALSE,0.947453753498493,0.0523466114189385,0.239398055111492,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,179,1,1,1789,"1_179_9",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","season",0.286253487738681,-2306748.2836879,-0.0139727692095962,-25073.3509096511,-0.00628151023999397,-2306748.2836879,-0.0139727692095962,-25073.3509096511,-0.00628151023999397,FALSE,0.947453753498493,0.0523466114189385,0.239398055111492,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,179,1,1,1789,"1_179_9",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","holiday",1.15498099994906,5245463.32717384,0.0317735788452924,327841.457948365,0.0821325989740181,5245463.32717384,0.0317735788452924,327841.457948365,0.0821325989740181,TRUE,0.947453753498493,0.0523466114189385,0.239398055111492,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,179,1,1,1789,"1_179_9",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","competitor_sales_B",0.203705194316826,99706535.232379,0.603956840606453,1083766.68730847,0.271511038497535,99706535.232379,0.603956840606453,1083766.68730847,0.271511038497535,TRUE,0.947453753498493,0.0523466114189385,0.239398055111492,0,11441.6939026153,7.47402687672298e-05,65481090.2533626,1e-04,9,179,1,1,1789,"1_179_9",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
