"","ds","dep_var","trend","season","holiday","competitor_sales_B","events","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","intercept","depVarHat","solID"
"1",2016-11-21,2964696.66666667,-864884.55661747,389276.478260807,0,1605824.12118195,0,147825.586446108,115954.283426689,93052.8738309656,16387.7262491595,5.57272813759794e-05,87982.8394760318,1357778.58301854,2949197.93532851,"1_180_2"
"2",2016-11-28,2848525,-865466.998751921,317613.480883362,0,1660015.85261544,0,47367.016736669,83159.6058088512,57317.5782735129,15045.9010171892,21748.1661643818,110755.529492841,1357778.58301854,2805334.71525887,"1_180_2"
"3",2016-12-05,2740160,-866039.4551121,248689.22136413,0,1464446.36861602,0,97067.0144642833,131415.126717772,1622.7591943463,10925.0715045248,20725.328589939,177355.353610755,1357778.58301854,2643985.37196822,"1_180_2"
"4",2016-12-12,2380508.33333333,-866611.91147228,230584.141653902,0,1405765.52864956,0,27725.0679368943,97019.460826702,35.5316383258014,11498.071234291,19575.9736909109,121380.317040255,1357778.58301854,2404750.7642171,"1_180_2"
"5",2016-12-19,2230915,-867184.367832459,258217.437837074,-370538.421051448,1267564.22674156,0,6896.0049740032,143467.008989784,0.773001997635642,8098.57671460106,19009.5376604766,53332.7118635311,1357778.58301854,1876642.07191767,"1_180_2"
"6",2016-12-26,3659425,-867756.824192638,281813.591994699,1159066.64234088,1374787.44303262,0,323504.281967545,108402.025219987,0.0168145394363878,15561.7139034224,20022.3688587449,17206.3419769181,1357778.58301854,3790386.18493526,"1_180_2"
"7",2017-01-02,2827008.33333333,-868329.280552818,259738.757760262,0,1333524.17344501,0,283039.714190063,154042.997889319,207899.31590929,14348.3004130628,19607.5561609705,138297.657252799,1357778.58301854,2899947.7754865,"1_180_2"
"8",2017-01-09,2042143.33333333,-868901.736912997,196863.420851666,0,1212088.82581315,0,134266.159847637,118839.925193426,28330.0420942923,15099.6266454201,19248.4086168793,111490.021606083,1357778.58301854,2325103.2767741,"1_180_2"
"9",2017-01-16,2113358.33333333,-869466.993694651,131244.052920918,0,1191726.17828882,0,77607.08253249,85686.0048640412,13257.4216271219,15720.0603789286,18762.0094273287,138772.757609065,1357778.58301854,2161087.1569726,"1_180_2"
"10",2017-01-23,2179918.33333333,-870032.250476304,91596.6581820219,0,1244548.87567243,0,21280.7649481949,58196.9791833276,133103.035839387,16272.9019093528,19146.7854825036,89221.2655723366,1357778.58301854,2161113.5993318,"1_180_2"
"11",2017-01-30,2370613.33333333,-870597.507257958,74495.5810411745,0,1262208.13444746,0,204174.558727742,37712.6150978926,6267.25290810296,14593.9017967521,19430.1926539342,109691.635685862,1357778.58301854,2215754.94811951,"1_180_2"
"12",2017-02-06,1814556.66666667,-871162.764039612,58892.9939238655,0,1075714.3253809,0,75654.4023783389,23630.2267266271,139.869879026201,7481.8029164636,17073.1306306505,47625.5443515758,1357778.58301854,1792828.11516638,"1_180_2"
"13",2017-02-13,1951668.33333333,-871728.020821266,31769.4818051978,0,1118702.67034962,0,20662.4463167017,107257.541951904,3.04419742525869,16303.3232309939,1.76070315510355,71695.1653780614,1357778.58301854,1852445.99613034,"1_180_2"
"14",2017-02-20,1918238.33333333,-872293.277602919,-5177.11919460634,0,1091535.04505388,0,5072.58628576761,75705.9279687336,130359.773443605,8758.40163034788,8.04264792509479e-05,80191.0282181677,1357778.58301854,1871930.94890195,"1_180_2"
"15",2017-02-27,1472390,-872858.534384573,-46322.4618276282,0,854011.194257475,0,1210.60375615538,50536.0380653825,5994.20334765495,19520.1919928742,15029.3316728083,104158.881331932,1357778.58301854,1489058.03123062,"1_180_2"
"16",2017-03-06,1477865,-873360.39540913,-88700.2024023296,0,833859.824006625,0,286.937044457491,32334.6106159981,158242.750790301,11525.1214570466,15364.7934992298,70510.3464234244,1357778.58301854,1517842.36904417,"1_180_2"
"17",2017-03-13,1300166.66666667,-873862.256433686,-127266.554369372,0,732591.141108374,0,58233.8111438357,20086.0477851918,9552.17474957976,5460.57526985311,14392.3921000372,99229.5591144907,1357778.58301854,1296195.47348685,"1_180_2"
"18",2017-03-20,1160205,-874364.117458243,-153551.264208463,0,643501.668243561,0,15357.2952625593,12237.4198244289,187332.47551517,2250.07872841434,13351.0365023649,99678.1168016592,1357778.58301854,1303571.29223,"1_180_2"
"19",2017-03-27,1356871.66666667,-874865.9784828,-166747.996175669,0,796174.396327993,0,3733.75840434708,59259.8059992925,16785.4490799055,9254.27419173808,15632.6950926573,110443.091297694,1357778.58301854,1327448.0787537,"1_180_2"
"20",2017-04-03,1355833.33333333,-875367.839507357,-182050.499504047,0,804452.268357788,0,888.956729716177,38469.609462785,391.697036191312,4151.72784864563,15144.6901812584,39272.8447969447,1357778.58301854,1203132.03842047,"1_180_2"
"21",2017-04-10,1176266.66666667,-875869.700531913,-217480.865230014,20992.4955867275,660001.39181397,0,210.58008467442,154159.554063306,8.5337803542241,1663.96155771946,13083.2798542124,14266.4021577799,1357778.58301854,1128814.21615536,"1_180_2"
"22",2017-04-17,1955281.66666667,-876371.56155647,-268919.299594558,1091944.67254151,543822.900181093,0,40381.2765333777,118957.404969993,0.185634821552096,633.936170442464,12773.2602808684,36643.8929065845,1357778.58301854,2057645.2510862,"1_180_2"
"23",2017-04-24,1029928.33333333,-876788.406437013,-306027.212422236,0,588543.078558186,0,10286.5099716485,142796.776322577,0.00403796707688619,236.674110828524,12018.382070949,63184.866305966,1357778.58301854,992029.255537417,"1_180_2"
"24",2017-05-01,2263143.33333333,-877205.251317557,-302240.480725113,376630.857987175,502737.295573452,0,189650.381147339,107755.007186777,8.78346315030703e-05,87.6819456529438,10019.1256888322,36544.8218459693,1357778.58301854,1401758.02243891,"1_180_2"
"25",2017-05-08,813771.666666667,-877622.0961981,-268274.329554957,0,463249.964414265,0,67549.6238024622,141991.544553935,1.91059565895303e-06,32.3907784444291,10274.2130963822,36188.9622150643,1357778.58301854,931168.85612795,"1_180_2"
"26",2017-05-15,880871.666666667,-878038.941078643,-246972.909659889,0,522946.109056064,0,18148.0001749259,106979.89241077,4.15596412061536e-08,11.9528175189984,0.705950652914431,67607.1298599657,1357778.58301854,948460.522549951,"1_180_2"
"27",2017-05-22,919185,-878455.785959187,-269343.338664617,-76915.5743200541,537971.337782684,0,4434.78980530319,94528.6018735628,9.04013242717011e-10,11384.6570637333,3.22457373210363e-05,78747.3131756804,1357778.58301854,860130.583807896,"1_180_2"
"28",2017-05-29,826321.666666667,-878872.63083973,-319861.016586341,0,476807.456324362,0,1057.18438400686,65211.8567851149,89667.6514903168,5375.36946232074,8573.86387115667,41262.6861462841,1357778.58301854,847001.004056034,"1_180_2"
"29",2017-06-05,833798.333333333,-879244.388379964,-352372.576234845,351810.241617784,464120.86071749,0,51143.9213237637,79878.8414528296,3059.34250169126,10492.7556106842,10273.7733099063,17250.5098468764,1357778.58301854,1114191.86478476,"1_180_2"
"30",2017-06-12,746271.666666667,-879616.145920198,-339748.17822345,0,442309.149873031,0,13301.280431677,53707.040174132,67.3806643525449,4847.7973475631,8764.37550999326,16921.3408634866,1357778.58301854,678332.623739132,"1_180_2"
"31",2017-06-19,1036406.66666667,-879987.903460431,-299935.896830545,0,560066.707929501,0,188984.624099559,34544.1005664854,1.46607637360416,2139.27954106689,11754.8748104506,17869.9991840984,1357778.58301854,993215.834935103,"1_180_2"
"32",2017-06-26,927931.666666667,-880359.661000665,-269070.020277964,0,526961.088623474,0,67193.1469718556,114807.660704992,53031.8109570997,822.792176125893,10232.4846565391,7408.2833630191,1357778.58301854,988806.16919302,"1_180_2"
"33",2017-07-03,1126943.33333333,-880731.418540899,-256166.798217985,0,619806.246220062,0,45627.0239113562,82163.1936965621,124191.874030736,14546.1564345803,13382.8536512403,30810.8217579972,1357778.58301854,1151408.53596219,"1_180_2"
"34",2017-07-10,1184220,-881103.176081133,-235461.868385482,0,702579.809076149,0,11740.2944853503,55462.4171579366,5424.69000960909,7447.81937668973,13217.4630403633,27481.3770479795,1357778.58301854,1064567.40874601,"1_180_2"
"35",2017-07-17,1315508.33333333,-881474.933621367,-184598.159534742,0,675943.222449273,0,60130.9245031321,103713.932991712,201964.621578981,3205.82591671834,13547.5430973414,13796.4699673692,1357778.58301854,1364008.03036696,"1_180_2"
"36",2017-07-24,1279360,-881723.981979446,-118905.762509092,0,758383.685698266,0,15917.2471213063,72735.9959436366,23925.7186665543,1259.9487283661,13580.1267494435,46006.3469051249,1357778.58301854,1288957.9083427,"1_180_2"
"37",2017-07-31,1455811.66666667,-881973.030337525,-76572.1168969946,0,787745.180056,0,70784.3183500868,125591.083184248,11926.5693380597,476.193364487789,15088.1825022962,42554.2633961687,1357778.58301854,1453399.22597537,"1_180_2"
"38",2017-08-07,1553355,-882222.078695604,-71531.5467851153,0,874450.314195606,0,19141.6400646867,119443.038074388,119773.391878801,177.238041323401,16681.0798395621,37950.2935304514,1357778.58301854,1591641.95316264,"1_180_2"
"39",2017-08-14,1374855,-882471.127053682,-72944.2417786504,0,746732.313162882,0,182052.242626586,86217.460354376,5050.55319169902,65.5870347051667,1.67198052574839,68242.1903950891,1357778.58301854,1490725.23293207,"1_180_2"
"40",2017-08-21,1970110,-882720.175411761,-38819.1139278036,0,1116145.29055783,0,63554.9823798063,58612.4480312838,137474.471276076,6075.2563490442,7.63735314254797e-05,78971.4214647679,1357778.58301854,1897073.16381416,"1_180_2"
"41",2017-08-28,2336431.66666667,-882969.22376984,35269.9515459222,0,1246685.12365984,0,334805.71356992,38008.2111477814,6730.52622605126,5873.00987670922,19144.0068555033,123776.72642462,1357778.58301854,2285102.62855505,"1_180_2"
"42",2017-09-04,2002065,-882932.932601953,110690.956170426,0,1187855.07356505,0,194620.262421215,23826.813724499,150.498170692254,2441.66359811896,18468.2084673518,100892.411019181,1357778.58301854,2113791.53755312,"1_180_2"
"43",2017-09-11,2027418.33333333,-882896.641434066,149601.76659535,0,1047530.50619571,0,256217.690402837,112661.208960348,52486.075983821,4021.02218458263,17072.7302066571,38744.6159660558,1357778.58301854,2153217.55807984,"1_180_2"
"44",2017-09-18,1886570,-882860.35026618,155151.493345345,0,1118598.27661264,0,110966.86626798,80309.2141977451,1449.13502499021,1607.18615441561,18392.2114399447,57913.8142903403,1357778.58301854,2019306.43008576,"1_180_2"
"45",2017-09-25,2529721.66666667,-882824.059098293,161624.766456483,0,1317933.93807037,0,303481.878114663,115466.207913545,31.7075951776369,9021.25869458737,19917.1477564717,90068.6679005183,1357778.58301854,2492500.09642207,"1_180_2"
"46",2017-10-02,2357930,-882787.767930406,190697.584607196,39557.3599792725,1387009.15750071,0,347530.618368607,104266.113329983,0.689798068795952,4025.24879512064,19575.6781814236,115862.346481166,1357778.58301854,2683515.61212968,"1_180_2"
"47",2017-10-09,3003391.66666667,-882751.476762519,229750.652170461,0,1449021.70490941,0,302770.555222093,143542.218321665,181416.452312687,13390.1251125748,20327.4209553569,84549.0617919246,1357778.58301854,2899795.29705219,"1_180_2"
"48",2017-10-16,2283685,-882715.185594632,256634.984094338,0,1354640.51885234,0,154454.441897401,108474.734929781,14797.68892013,13600.2444397443,19856.9054338539,152285.722877815,1357778.58301854,2549808.63886932,"1_180_2"
"49",2017-10-23,2584721.66666667,-882519.00272845,274390.744832943,0,1379357.29220715,0,238130.656908844,97059.7814278126,342.360559290294,14218.317214954,20227.5484958405,151915.564921481,1357778.58301854,2650901.84685841,"1_180_2"
"50",2017-10-30,2565400,-882322.819862268,307416.650707798,-180405.768709778,1477500.92102326,0,122204.900055605,67260.631967926,7.45741244393405,14889.264704236,20790.6547881917,66955.2619674013,1357778.58301854,2372075.73707336,"1_180_2"
"51",2017-11-06,3407085,-882126.636996086,362498.221271016,0,1651004.55678444,0,152484.088080034,139682.672408671,196879.074366778,13357.0717495701,21986.4834488818,97874.7286222762,1357778.58301854,3111418.84275412,"1_180_2"
"52",2017-11-13,2803291.66666667,-881930.454129904,406912.391896985,0,1663795.72397111,0,49412.189773014,104770.751261343,20975.0060412195,16559.2481085581,3.55377025177764,89553.247104638,1357778.58301854,2827830.24081576,"1_180_2"
"53",2017-11-20,3303155,-881734.271263722,397715.452045304,0,1718318.06521217,0,249211.095272474,112029.541466731,10506.2010041166,13700.8074878241,0.000162340797133864,86548.40174345,1357778.58301854,3064073.87614923,"1_180_2"
"54",2017-11-27,3103743.33333333,-881538.08839754,332056.461166247,0,1775714.70215524,0,105533.58295306,79766.397371538,121062.417474907,11551.5113769996,24863.9801984361,146604.097676352,1357778.58301854,3073393.64499378,"1_180_2"
"55",2017-12-04,2793875,-881341.905531358,258113.579725605,0,1499217.3081147,0,180267.170804272,101195.767341015,5156.99806905449,9435.91048958822,23843.6097315203,98667.3270585014,1357778.58301854,2652334.34882144,"1_180_2"
"56",2017-12-11,2260396.66666667,-880981.631627079,229504.590607067,0,1341677.02197038,0,62639.4195434115,70648.5096929409,114.564170726872,11138.2745015517,22910.0473284174,140932.607963473,1357778.58301854,2356361.98716943,"1_180_2"
"57",2017-12-18,2399176.66666667,-880621.3577228,251909.382237898,0,1292428.07611082,0,268414.383644785,100770.219712619,2.49317626417029,7945.4594069524,23249.7359748322,168015.366600409,1357778.58301854,2589892.34216033,"1_180_2"
"58",2017-12-25,3827520,-880261.083818521,280268.460325532,562247.243481315,1215380.34077743,0,326831.045494192,70297.6095314608,163847.451281015,15546.1134249533,22182.5696389764,207460.066149935,1357778.58301854,3341578.39930483,"1_180_2"
"59",2018-01-01,3109461.66666667,-879900.809914242,267463.609351402,250722.387797024,1225591.54213382,0,183609.25909764,46493.3500563065,86039.3652101694,14343.099784351,22597.0869229446,254364.537645735,1357778.58301854,2829102.0111037,"1_180_2"
"60",2018-01-08,2228128.33333333,-879540.536009963,209510.938177378,0,1308095.13958491,0,64360.5833487666,38456.2425779025,2869.53835958546,15098.3236834959,22724.757684793,264054.696268577,1357778.58301854,2403408.26669399,"1_180_2"
"61",2018-01-15,2202593.33333333,-879180.262105684,141482.888431929,0,1131149.88951701,0,207712.59178019,24125.1364482553,166931.336671491,7846.20546610357,22182.3669159198,141724.796343044,1357778.58301854,2321753.5324868,"1_180_2"
"62",2018-01-22,1918293.33333333,-878787.364133842,96531.2752230017,0,1055862.08675799,0,77728.649874498,82030.6821973087,190804.429997394,3407.77797103681,21491.9895296678,77729.0118103771,1357778.58301854,2084577.12224598,"1_180_2"
"63",2018-01-29,1862458.33333333,-878394.466162,76820.0864132395,0,1017480.58227094,0,158770.331751744,55360.2096412908,18145.5549463348,1344.88574588982,21255.9058787659,64583.3609240192,1357778.58301854,1893145.03442877,"1_180_2"
"64",2018-02-05,1975951.66666667,-878001.568190159,62373.9785861134,0,1150210.01620719,0,52246.4245190627,35705.229739444,58048.9323343622,3190.0100255468,22569.0382294643,175630.719974662,1357778.58301854,2039751.36444423,"1_180_2"
