"DATE","revenue","tv_S","ooh_S","print_S","facebook_I","search_clicks_P","search_S","competitor_sales_B","facebook_S","events","newsletter"
2015-11-23,2754371.66666667,22358.3466666667,0,12728.4888888889,24301284.2375304,0,0,8125009,7607.1329148046,"na",19401.6538461538
2015-11-30,2584276.66666667,28613.4533333333,0,0,5527033.1817753,9837.2384857852,4133.33333333333,7901549,1141.95245035415,"na",14791
2015-12-07,2547386.66666667,0,132278.4,453.866666666667,16651591.2234904,12044.1196528263,3786.66666666667,8300197,4256.37537782657,"na",14544
2015-12-14,2875220,83450.3066666667,0,17680,10549765.6762647,12268.0703194346,4253.33333333333,8122883,2800.49067685105,"na",2800
2015-12-21,2215953.33333333,0,277336,0,2934089.82625045,9467.2480229987,3613.33333333333,7105985,689.582605192027,"na",15478
2015-12-28,2569921.66666667,33225.3066666667,0,31922.3111111111,16634027.0357604,12687.2586368544,3773.33333333333,7097237,5337.0051734019,"na",13817
2016-01-04,2171506.66666667,687.053333333333,226753.6,0,13715898.6058832,12096.504594859,3706.66666666667,6974368,3623.01223287033,"na",28817
2016-01-11,2464131.66666667,2952.22666666667,0,23581.2888888889,18851563.533732,11588.3696648409,4266.66666666667,7452174,4129.8161531585,"na",19082
2016-01-18,2012520,0,0,0,11910187.8796785,9341.1605005463,3053.33333333333,6703566,3623.01223287033,"na",19679
2016-01-25,1738911.66666667,0,0,11243.9111111111,10620420.1845297,7023.24641526987,3053.33333333333,5535394,3002.69058507969,"na",15095
2016-02-01,1772306.66666667,16511.8266666667,42477.3333333333,0,0,9341.32576660873,2746.66666666667,5480098,0,"na",9795
2016-02-08,1809058.33333333,0,0,4763.55555555556,11416552.5179333,7107.7773245362,2693.33333333333,5872523,3564.38219778663,"na",10876
2016-02-15,1952740,66276.44,0,2448.4,5063253.0082151,0,0,5822926,1448.59774023091,"na",19401.6538461538
2016-02-22,1507805,0,0,0,0,0,0,5027123,0,"na",19401.6538461538
2016-02-29,1510391.66666667,41556.2933333333,0,0,10819486.9089563,5355.8900395874,2293.33333333333,4561518,2415.59640398059,"na",583
2016-03-07,1588840,0,0,16506.0888888889,0,9625.7947240607,2826.66666666667,4996211,0,"na",8224
2016-03-14,1605990,19772.44,43994.1333333333,0,0,5688.41158754657,2373.33333333333,4938630,0,"na",5311
2016-03-21,1356010,0,0,0,0,7036.81911751627,2293.33333333333,4520383,0,"na",7428
2016-03-28,2103936.66666667,0,66088.5333333333,13579.4222222223,26747226.4873481,6090.3817960061,2533.33333333333,4506918,6471.04840519463,"na",10025
2016-04-04,1120835,0,0,0,1146392.7743076,4636.5521979751,1906.66666666667,3738504,20.8373114038425,"na",9460
2016-04-11,1141140,0,66413.8666666667,0,0,4443.2572985456,1866.66666666667,3768926,0,"na",2964
2016-04-18,1166880,11126.7333333333,0,0,9416454.7015247,5696.9077760121,1786.66666666667,3663385,2348.68785330482,"na",11663
2016-04-25,888806.666666667,0,0,0,0,4104.89140549907,1800,2960479,0,"na",6317
2016-05-02,898873.333333333,0,0,12518.5777777778,0,3685.01449491983,1266.66666666667,2861890,0,"na",5408
2016-05-09,889373.333333334,0,49957.8666666667,0,0,4422.71423751953,1426.66666666667,2941465,0,"na",1900
2016-05-16,1915375,0,0,0,16918655.5894522,0,0,3039148,3673.93077397783,"na",19401.6538461538
2016-05-23,1006845,0,124442.666666667,0,0,0,0,3292482,0,"na",19401.6538461538
2016-05-30,869198.333333334,0,0,0,0,4565.78751920413,1346.66666666667,2895248,0,"na",9003
2016-06-06,727250,0,0,0,0,3110.33205292188,1200,2427455,0,"na",4305
2016-06-13,753730,0,0,0,0,4813.31436987967,1520,2516566,0,"na",7217
2016-06-20,999196.666666667,20472.3866666667,123908.266666667,0,11151653.5519218,4475.39512233343,1626.66666666667,3012353,2553.15584799705,"na",1983
2016-06-27,845843.333333333,0,0,0,0,3675.03050439213,1506.66666666667,2826660,0,"na",3437
2016-07-04,1126016.66666667,10121.0133333333,0,5168.4,0,4333.65846425293,1746.66666666667,3489775,0,"na",4147
2016-07-11,1140978.33333333,0,0,0,0,5852.91406415247,1906.66666666667,3807127,0,"na",8479
