"","DATE","revenue","tv_S","ooh_S","print_S","facebook_I","search_clicks_P","search_S","competitor_sales_B","facebook_S","events","newsletter"
"1",2015-11-23,2754371.66666667,67075.04,0,38185.4666666667,72903852.7125913,0,0,8125009,22821.3987444138,"na",19401.6538461538
"2",2015-11-30,2584276.66666667,85840.36,0,0,16581099.5453259,29511.7154573556,12400,7901549,3425.85735106246,"na",14791
"3",2015-12-07,2547386.66666667,0,396835.2,1361.6,49954773.6704713,36132.358958479,11360,8300197,12769.1261334797,"na",14544
"4",2015-12-14,2875220,250350.92,0,53040,31649297.028794,36804.2109583039,12760,8122883,8401.47203055314,"na",2800
"5",2015-12-21,2215953.33333333,0,832008,0,8802269.47875135,28401.7440689961,10840,7105985,2068.74781557608,"na",15478
"6",2015-12-28,2569921.66666667,99675.92,0,95766.9333333332,49902081.1072813,38061.7759105633,11320,7097237,16011.0155202057,"na",13817
"7",2016-01-04,2171506.66666667,2061.16,680260.8,0,41147695.8176496,36289.5137845771,11120,6974368,10869.036698611,"na",28817
"8",2016-01-11,2464131.66666667,8856.68,0,70743.8666666668,56554690.6011959,34765.1089945226,12800,7452174,12389.4484594755,"na",19082
"9",2016-01-18,2012520,0,0,0,35730563.6390355,28023.4815016389,9160,6703566,10869.036698611,"na",19679
"10",2016-01-25,1738911.66666667,0,0,33731.7333333333,31861260.5535892,21069.7392458096,9160,5535394,9008.07175523908,"na",15095
"11",2016-02-01,1772306.66666667,49535.48,127432,0,0,28023.9772998262,8240,5480098,0,"na",9795
"12",2016-02-08,1809058.33333333,0,0,14290.6666666667,34249657.5537999,21323.3319736086,8080,5872523,10693.1465933599,"na",10876
"13",2016-02-15,1952740,198829.32,0,7345.2,15189759.0246453,0,0,5822926,4345.79322069274,"na",19401.6538461538
"14",2016-02-22,1507805,0,0,0,0,0,0,5027123,0,"na",19401.6538461538
"15",2016-02-29,1510391.66666667,124668.88,0,0,32458460.7268688,16067.6701187622,6880,4561518,7246.78921194176,"na",583
"16",2016-03-07,1588840,0,0,49518.2666666668,0,28877.3841721821,8480,4996211,0,"na",8224
"17",2016-03-14,1605990,59317.32,131982.4,0,0,17065.2347626397,7120,4938630,0,"na",5311
"18",2016-03-21,1356010,0,0,0,0,21110.4573525488,6880,4520383,0,"na",7428
"19",2016-03-28,2103936.66666667,0,198265.6,40738.2666666668,80241679.4620443,18271.1453880183,7600,4506918,19413.1452155839,"na",10025
"20",2016-04-04,1120835,0,0,0,3439178.32292279,13909.6565939253,5720,3738504,62.5119342115275,"na",9460
"21",2016-04-11,1141140,0,199241.6,0,0,13329.7718956368,5600,3768926,0,"na",2964
"22",2016-04-18,1166880,33380.2,0,0,28249364.1045741,17090.7233280363,5360,3663385,7046.06355991445,"na",11663
"23",2016-04-25,888806.666666667,0,0,0,0,12314.6742164972,5400,2960479,0,"na",6317
"24",2016-05-02,898873.333333333,0,0,37555.7333333333,0,11055.0434847595,3800,2861890,0,"na",5408
"25",2016-05-09,889373.333333334,0,149873.6,0,0,13268.1427125586,4280,2941465,0,"na",1900
"26",2016-05-16,1915375,0,0,0,50755966.7683567,0,0,3039148,11021.7923219335,"na",19401.6538461538
"27",2016-05-23,1006845,0,373328,0,0,0,0,3292482,0,"na",19401.6538461538
