row_num,DATE,revenue,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,search_S,competitor_sales_B,facebook_S,events,newsletter
1,2015-11-23,2754371.66666667,167687.6,0,95463.6666666667,7.29038527125913E7,0.0,0,8125009,228213.987444138,na,19401.6538461538
2,2015-11-30,2584276.66666667,214600.9,0,0.0,1.65810995453259E7,29511.7154573556,31000,7901549,34258.5735106246,na,14791.0
3,2015-12-07,2547386.66666667,0.0,248022,3404.0,4.99547736704713E7,36132.358958479,28400,8300197,127691.261334797,na,14544.0
4,2015-12-14,2875220.0,625877.3,0,132600.0,3.1649297028794E7,36804.2109583039,31900,8122883,84014.7203055314,na,2800.0
5,2015-12-21,2215953.33333333,0.0,520005,0.0,8802269.47875135,28401.7440689961,27100,7105985,20687.4781557608,na,15478.0
6,2015-12-28,2569921.66666667,249189.8,0,239417.333333333,4.99020811072813E7,38061.7759105633,28300,7097237,160110.155202057,na,13817.0
7,2016-01-04,2171506.66666667,5152.9,425163,0.0,4.11476958176496E7,36289.5137845771,27800,6974368,108690.36698611,na,28817.0
8,2016-01-11,2464131.66666667,22141.7,0,176859.666666667,5.65546906011959E7,34765.1089945226,32000,7452174,123894.484594755,na,19082.0
9,2016-01-18,2012520.0,0.0,0,0.0,3.57305636390355E7,28023.4815016389,22900,6703566,108690.36698611,na,19679.0
10,2016-01-25,1738911.66666667,0.0,0,84329.3333333333,3.18612605535892E7,21069.7392458096,22900,5535394,90080.7175523908,na,15095.0
11,2016-02-01,1772306.66666667,123838.7,79645,0.0,0.0,28023.9772998262,20600,5480098,0.0,na,9795.0
12,2016-02-08,1809058.33333333,0.0,0,35726.6666666667,3.42496575537999E7,21323.3319736086,20200,5872523,106931.465933599,na,10876.0
13,2016-02-15,1952740.0,497073.3,0,18363.0,1.51897590246453E7,0.0,0,5822926,43457.9322069274,na,19401.6538461538
14,2016-02-22,1507805.0,0.0,0,0.0,0.0,0.0,0,5027123,0.0,na,19401.6538461538
15,2016-02-29,1510391.66666667,311672.2,0,0.0,3.24584607268688E7,16067.6701187622,17200,4561518,72467.8921194176,na,583.0
16,2016-03-07,1588840.0,0.0,0,123795.666666667,0.0,28877.3841721821,21200,4996211,0.0,na,8224.0
17,2016-03-14,1605990.0,148293.3,82489,0.0,0.0,17065.2347626397,17800,4938630,0.0,na,5311.0
18,2016-03-21,1356010.0,0.0,0,0.0,0.0,21110.4573525488,17200,4520383,0.0,na,7428.0
19,2016-03-28,2103936.66666667,0.0,123916,101845.666666667,8.02416794620443E7,18271.1453880183,19000,4506918,194131.452155839,na,10025.0
20,2016-04-04,1120835.0,0.0,0,0.0,3439178.32292279,13909.6565939253,14300,3738504,625.119342115275,na,9460.0
21,2016-04-11,1141140.0,0.0,124526,0.0,0.0,13329.7718956368,14000,3768926,0.0,na,2964.0
22,2016-04-18,1166880.0,83450.5,0,0.0,2.82493641045741E7,17090.7233280363,13400,3663385,70460.6355991445,na,11663.0
23,2016-04-25,888806.666666667,0.0,0,0.0,0.0,12314.6742164972,13500,2960479,0.0,na,6317.0
24,2016-05-02,898873.333333333,0.0,0,93889.3333333333,0.0,11055.0434847595,9500,2861890,0.0,na,5408.0
25,2016-05-09,889373.333333334,0.0,93671,0.0,0.0,13268.1427125586,10700,2941465,0.0,na,1900.0
26,2016-05-16,1915375.0,0.0,0,0.0,5.07559667683567E7,0.0,0,3039148,110217.923219335,na,19401.6538461538
27,2016-05-23,1006845.0,0.0,233330,0.0,0.0,0.0,0,3292482,0.0,na,19401.6538461538
28,2016-05-30,869198.333333334,0.0,0,0.0,0.0,13697.3625576124,10100,2895248,0.0,na,9003.0
29,2016-06-06,727250.0,0.0,0,0.0,0.0,9330.99615876563,9000,2427455,0.0,na,4305.0
30,2016-06-13,753730.0,0.0,0,0.0,0.0,14439.943109639,11400,2516566,0.0,na,7217.0
31,2016-06-20,999196.666666667,153542.9,232328,0.0,3.34549606557654E7,13426.1853670003,12200,3012353,76594.6754399115,na,1983.0
32,2016-06-27,845843.333333333,0.0,0,0.0,0.0,11025.0915131764,11300,2826660,0.0,na,3437.0
33,2016-07-04,1126016.66666667,75907.6,0,38763.0,0.0,13000.9753927588,13100,3489775,0.0,na,4147.0
34,2016-07-11,1140978.33333333,0.0,0,0.0,0.0,17558.7421924574,14300,3807127,0.0,na,8479.0
35,2016-07-18,1242656.66666667,14253.1,599331,35855.0,3.37298728687114E7,12646.6102778097,10700,3824504,106584.448704671,na,6348.0
36,2016-07-25,1293483.33333333,0.0,0,0.0,0.0,18869.8338730028,14600,4307032,0.0,na,13762.0
37,2016-08-01,1484843.33333333,211351.9,307907,0.0,5.36055613881105E7,20555.155102862,17100,4396674,153060.942473233,na,11841.0
38,2016-08-08,1485698.33333333,0.0,0,6058.33333333333,0.0,21913.056334795,19000,4941143,0.0,na,17162.0
39,2016-08-15,1556608.33333333,214730.1,0,0.0,1.53739416231327E7,0.0,0,4762083,30356.3307500258,na,19401.6538461538
40,2016-08-22,1391206.66666667,0.0,0,104848.0,1.16641665346404E7,0.0,0,4409483,19255.1815540065,na,19401.6538461538
41,2016-08-29,2018783.33333333,179933.7,299336,0.0,0.0,27453.5393575206,23100,6065021,0.0,na,2453.0
